city_id,Hotel_name,Mobile,landline,Email,Contact Person ,Emergency Contact  No,Hotel address,Statecountry_id,Website,Bank Name,Account Type,Account No,Branch,IFSCswift Code,TaxNo,Personal Identification No(PIN),Hotel Category,Child Without Bed From Age,Child Without Bed To Age,Child With Bed From Age,Child With Bed To  Age,Hotel Type,Hotel Description,Opening Balance,Balance Side
1268,Ripple Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Carbyns Cove Port blair Andaman and Nicobar Islands 744103,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,Big Tree Hospitality LLP Bar And Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Chidiyatapu  Port blair Andaman and Nicobar Islands 744103,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,Hotel Grant Oceana Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Codiyaghat  Port blair Andaman and Nicobar Islands 744103,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,Ms Signature Bar & Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Dairy Farm  Port blair Andaman and Nicobar Islands 744103,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,M Subramaniam Ms Hotel MSM Bar-Cum-Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Dairy Farm  Port blair Andaman and Nicobar Islands 744104,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,S Muthuraman Ms S MS Bar & Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Dairy Farm  Port blair Andaman and Nicobar Islands 744105,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,Shri MAnbazhagan Ms Hotel ASM Bar and Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Dairy Farm  Port blair Andaman and Nicobar Islands 744106,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,Hotel Nithia,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Delanipur  Port blair Andaman and Nicobar Islands 744103,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,Port Meridian Bar & Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Delanipur  Port blair Andaman and Nicobar Islands 744104,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,Dev Haweli,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Delanipur  Port blair Andaman and Nicobar Islands 744105,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,Shri K Abdul Nasar Ms Bava Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Delanipur  Port blair Andaman and Nicobar Islands 744106,3,,,,,,,,,3 star,2,4,5,11,,,,
1268,Ms Shalimar Inn Bar & Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Delanipur  Port blair Andaman and Nicobar Islands 744107,3,,,,,,,,,3 star,2,4,5,11,,,,
